contig	cov_mean_sample_Sample118	cov_mean_sample_Sample120	cov_mean_sample_Sample127	cov_mean_sample_Sample134	cov_mean_sample_Sample177	cov_mean_sample_Sample215	cov_mean_sample_Sample230	cov_mean_sample_Sample234	cov_mean_sample_Sample244	cov_mean_sample_Sample261	cov_mean_sample_Sample263	cov_mean_sample_Sample290	cov_mean_sample_Sample302	cov_mean_sample_Sample321	cov_mean_sample_Sample330	cov_mean_sample_Sample343
NODE_173_length_51809_cov_8.202050.4	2.008922	4.533459	3.238319	0	0	0	3.961106	0	4.714705	1.068271	0.370402	1.126356	3.979122	4.742483	2.664871	1.599123
NODE_19_length_1273_cov_24.035349	4.975431	10.036481	7.964256	0	0	0	12.040207	0	10.608330	2.305287	0.595681	2.679074	13.472818	14.740135	8.482499	4.169765
NODE_173_length_51809_cov_8.202050.2	2.068000	4.566100	3.508300	0	0	0	3.727000	0	4.005800	1.008700	0.389700	1.009500	3.689600	4.876500	2.728900	1.738400
NODE_173_length_51809_cov_8.202050.3	1.779900	4.197100	2.806000	0.019900	0	0.010000	3.735100	0	4.496500	0.920000	0.498900	0.959300	4.015700	4.636200	2.948500	1.679000
NODE_46_length_121_cov_15.454545	0.523560	3.141359	3.109948	0	0	0	4.712042	0	3.104711	1.570680	0.979058	1.539266	4.701571	7.811512	3.664919	1.570680
NODE_173_length_51809_cov_8.202050.1	1.749100	4.377700	2.776700	0	0	0	4.187600	0	3.874300	0.987600	0.269200	0.909700	4.026900	4.928600	2.734600	1.459200
NODE_225_length_457_cov_18.485777	3.009487	9.267559	6.449717	0	0	0	7.206831	0	7.772293	1.138521	0	2.277041	5.487667	10.413659	5.692598	3.203035
NODE_505_length_906976_cov_6.853119.67	1.529400	0.090000	0.629400	0.050000	6.306700	5.848200	0.320000	1.908200	0	2.957800	5.124600	1.688900	0	0.290000	0.300000	0
NODE_334_length_210_cov_14.171429	0.357143	1.071429	0.714285	0	0	0	0	0	0.357143	0	0	0.357143	0.357143	0.357143	0.357143	0
NODE_360_length_162_cov_4.154321	0.431034	1.293105	2.586207	0	0	0	0	0	0.431034	1.293105	0.431034	0.431034	0.862069	0	0.431034	2.155169
NODE_87_length_307_cov_25.482084	4.509287	10.305031	7.087530	0	0	0	7.679050	0	13.098144	2.366049	0.246684	2.384616	9.949610	11.302385	8.641911	4.464194
NODE_277_length_146_cov_4.280822	0.462963	0.462963	0.462963	0	0	0	0	0	0.884258	2.777777	0.462963	0.462963	1.388889	0	0	3.240744
NODE_460_length_2399_cov_4.216757	2.306199	4.858243	3.641958	0	0	0	4.370599	0	4.411907	1.739166	0.605508	1.417172	4.370598	6.274204	2.787772	1.819361
NODE_13_length_6591_cov_8.574723	2.308962	4.187361	3.404290	0	0	0	4.186305	0	5.233151	2.056747	0.540459	1.620779	5.593307	4.077317	3.076262	3.510886
NODE_16_length_640_cov_19.335938	5.330985	8.298583	5.316904	0	0	0	8.867604	0	10.799998	3.360565	0.554929	2.792957	8.988734	9.859151	4.466204	6.295774
NODE_505_length_906976_cov_6.853119.32	1.680000	0.080000	0.479000	0.060000	5.667000	5.553800	0.310000	1.829200	0	2.753100	5.139300	1.399300	0	0.269700	0.189200	0
NODE_238_length_184_cov_14.336957	0.787403	0	0	0	1.574802	1.181103	0	0.787401	0	0.787401	1.181100	0	0	0	0	0
NODE_351_length_354039_cov_6.840114.8	1.918200	0.040000	0.828600	0.088800	6.466500	6.247600	0.330000	2.327500	0	2.747200	5.125300	1.459100	0	0.340000	0.150000	0
NODE_351_length_354039_cov_6.840114.7	1.838400	0.040000	0.858100	0.059800	6.218000	5.433900	0.480000	2.038700	0	2.766000	5.589100	1.529000	0	0.300000	0.130000	0
NODE_351_length_354039_cov_6.840114.6	1.659600	0.040000	0.790000	0.100000	6.226000	5.148000	0.409500	1.989200	0	2.586500	5.048400	1.607300	0	0.410000	0.220000	0
NODE_351_length_354039_cov_6.840114.5	1.879100	0.059200	0.789100	0.079800	6.205000	5.577300	0.239500	2.018400	0	2.577400	4.543400	1.418800	0	0.429500	0.170000	0
NODE_351_length_354039_cov_6.840114.4	1.739000	0.180000	0.719800	0.080000	6.234700	5.807700	0.358900	1.947600	0	2.896300	4.716500	1.269600	0	0.330000	0.120000	0
NODE_351_length_354039_cov_6.840114.3	1.748100	0.100000	0.590000	0.120000	5.786000	5.945100	0.390000	2.067500	0	2.736500	4.954800	1.689000	0	0.240000	0.210000	0
NODE_351_length_354039_cov_6.840114.2	1.979300	0.040000	0.880000	0.040000	6.015400	5.753300	0.340000	2.229000	0	2.956600	5.246400	1.448900	0	0.579200	0.250000	0
NODE_351_length_354039_cov_6.840114.1	1.737100	0.040000	0.889400	0.060000	6.543400	4.978500	0.238700	2.178600	0	2.999200	5.436000	1.320000	0	0.379100	0.170000	0
NODE_351_length_354039_cov_6.840114.0	1.829200	0.100000	0.808900	0.070000	6.334900	6.145600	0.279700	1.929100	0	2.908600	5.535000	1.488500	0	0.398900	0.160000	0
NODE_505_length_906976_cov_6.853119.79	1.839100	0.070000	0.629100	0.110000	6.425700	6.075200	0.626400	2.187100	0	2.929100	5.131400	1.616900	0	0.300000	0.240000	0
NODE_463_length_171_cov_4.304093	0	1.244814	0.414938	0	0	0	0.829876	0	0.788382	1.659752	0	0.829875	2.489625	0	0.414938	3.290455
NODE_502_length_207_cov_14.362319	0	0	0	0	0.722021	2.166063	0	1.083032	0	0.361011	1.444044	0	0	0.361011	0	0
NODE_254_length_191233_cov_8.270398.1	1.529300	4.077000	3.059100	0	0	0	4.108900	0	4.221300	1.009700	0.240000	1.129400	3.835100	4.448500	2.608800	1.830000
NODE_152_length_80_cov_9.712500	3.846663	4.646671	5.279995	0	0	0	4.666664	0	8.566668	0.666667	0	4.626667	9.133333	4.579999	5.173335	1.960001
NODE_270_length_151_cov_4.258278	1.809956	0	0	0.452489	0	0	0	3.619902	0	0	0.452489	3.167421	0	0.452489	1.357464	0.904977
NODE_160_length_172_cov_4.005814	0.826446	0.413223	1.239669	0	0	0	0	0	0.413223	3.706616	0.413223	0.413223	0	0	0.413223	2.479339
NODE_105_length_260_cov_4.142308	1.818181	0.303030	0.909091	0	0	0	0.303030	0	0	2.121211	1.212121	0	0.909090	0	0	1.818183
NODE_341_length_433_cov_5.150115	1.385684	3.141154	2.355868	0	0	0	3.558650	0	2.584495	0.795229	0.596422	1.988074	2.166998	3.976144	1.984094	0.994036
NODE_111_length_80116_cov_8.871636.5	2.248400	4.691800	3.496100	0	0	0	4.134500	0	4.415500	1.070000	0.230000	1.099600	4.136500	4.824700	2.795400	1.578100
NODE_111_length_80116_cov_8.871636.4	1.959300	4.606200	3.178800	0	0	0	4.028800	0	4.507900	0.909700	0.410000	1.059800	4.422800	4.746700	2.597200	1.729200
NODE_111_length_80116_cov_8.871636.7	1.822990	4.628609	2.521696	0	0	0	4.021993	0	4.181820	1.128413	0.363243	1.187120	4.238861	4.236105	3.147359	1.362556
NODE_111_length_80116_cov_8.871636.6	1.747300	4.446100	3.118100	0	0	0	3.876600	0	4.505200	1.130000	0.260000	1.169800	4.025700	4.704400	2.567700	1.458300
NODE_111_length_80116_cov_8.871636.1	2.909500	4.897200	3.998600	0	0	0	4.777000	0	4.757700	2.779000	0.780000	1.979700	4.556000	4.479100	3.225600	3.966300
NODE_111_length_80116_cov_8.871636.0	2.747000	5.603200	3.788400	0	0	0	4.259100	0	5.404000	2.697400	0.779300	1.608100	4.958100	4.486800	3.538300	3.677700
NODE_111_length_80116_cov_8.871636.3	2.148700	4.985700	2.937300	0	0	0	3.676800	0	4.434200	0.990000	0.339900	1.108600	4.116000	4.655600	2.799300	1.470000
NODE_111_length_80116_cov_8.871636.2	2.425900	4.784400	3.617900	0	0	0	3.947500	0	4.744200	2.039100	0.490000	1.326600	5.249600	4.419400	3.065800	2.829200
NODE_52_length_81425_cov_8.175524.7	1.783386	4.193996	3.025142	0	0	0	3.929618	0	4.572420	1.078295	0.243585	1.121184	3.982772	4.840888	2.728576	1.356502
NODE_52_length_81425_cov_8.175524.6	1.806900	4.598200	2.977400	0	0	0	3.939900	0	4.907600	0.990000	0.299900	1.290000	3.659000	5.436200	2.718000	1.578300
